"","","Key Socio-Economic Indicators by Province","","","","","","","",""
"","Based on Household Income and Expenditure Survey - 2019","","","","","","","","",""
"","","","","","","North","North","","Sabaraga-",""
"","Western","Central","Southern","Northern","Eastern","","","Uva","","All Island"
"","","","","","","Western","Central","","muwa",""
"Household Characteristics","","","","","","","","","",""
"Number of Individuals per Household","3.8","3.8","3.7","3.9","3.7","3.6","3.6","3.6","3.7","3.7"
"Number of Income Receivers per Household","1.9","1.8","1.8","1.8","1.6","1.8","1.7","1.7","1.8","1.8"
"Population Distribution","","","","","","","","","",""
"By Gender, %","","","","","","","","","",""
"Male","47.5","47.3","46.6","47.5","47.1","47.2","45.4","47.9","47.2","47.2"
"Female","52.5","52.7","53.4","52.5","52.9","52.8","54.6","52.1","52.8","52.8"
"By Age Group, %","","","","","","","","","",""
"0 -14 Years","20.2","23.7","22.8","23.2","27.3","24.3","25.5","23.0","21.8","22.8"
"15 - 59 Years","60.9","57.5","57.8","60.2","60.8","57.9","58.0","60.3","58.4","59.2"
"Over 59 Years","18.9","18.8","19.4","16.6","11.9","17.8","16.6","16.7","19.8","17.9"
"By Educational Attainment, %","","","","","","","","","",""
"No schooling","1.9","4.0","3.1","1.6","3.9","2.9","3.1","6.2","3.9","3.1"
"Up to Grade 5","14.7","23.0","21.7","22.4","27.8","23.8","25.2","25.1","22.5","21.1"
"Grade 6 - 10","40.6","44.5","43.9","50.9","43.0","46.7","45.9","46.6","44.8","44.0"
"Passed G.C.E. (O/L)","21.1","14.7","17.5","12.6","15.6","13.7","14.9","13.0","16.1","16.7"
"Passed G.C.E. (A/L) and Above","21.8","13.8","13.8","12.5","9.7","12.9","10.8","9.1","12.8","15.1"
"Income","","","","","","","","","",""
"Mean Income, Rs. per Month","","","","","","","","","",""
"Per Household","109,813","65,420","68,410","55,390","51,536","75,148","64,645","62,363","56,335","76,414"
"Per Person","28,809","17,275","18,658","14,107","13,925","20,984","18,131","17,173","15,163","20,527"
"Per Income Receiver","56,762","36,560","37,923","31,104","32,787","42,321","37,996","36,078","30,695","42,308"
"Median Income, Rs. per Month","","","","","","","","","",""
"Per Household","75,000","49,475","50,270","42,491","38,871","55,614","47,415","40,055","45,797","53,333"
"Per Person","19,383","12,344","13,697","11,150","10,250","14,705","13,863","11,066","11,884","14,095"
"Per Income Receiver","35,171","25,067","26,267","24,629","25,000","28,800","26,323","22,343","23,517","28,465"
"Income Share by Households, %","","","","","","","","","",""
"Richest 20%","51.7","48.5","48.4","46.8","48.2","49.4","48.4","54.6","44.7","51.4"
"Poorest 20%","5.1","4.8","5.4","4.5","5.1","4.6","5.0","4.3","5.6","4.6"
"Middle 60%","43.2","46.7","46.2","48.7","46.8","46.0","46.7","41.1","49.7","44.0"
"Gini Coefficient, One Month Income","","","","","","","","","",""
"Gini Coefficient (Households)","0.46","0.43","0.42","0.42","0.42","0.44","0.43","0.50","0.39","0.46"
"Gini Coefficient (Per Person)","0.44","0.42","0.40","0.38","0.40","0.43","0.40","0.47","0.36","0.44"
"Gini Coefficient (Income Receivers)","0.52","0.49","0.49","0.47","0.47","0.52","0.50","0.54","0.46","0.52"
"Expenditure, Rs. per Month","","","","","","","","","",""
"Per Household","90,243","56,783","57,854","44,020","46,947","59,681","52,337","46,237","47,215","63,130"
"Household Expenditure Share, %","","","","","","","","","",""
"All Food","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Cereal","12.9","17.8","14.8","19.5","13.8","15.3","18.2","20.9","18.4","15.6"
"Prepared Food","15.7","10.0","10.9","8.9","11.0","11.6","10.2","7.2","8.9","11.9"
"Pulses","3.0","3.4","3.2","3.4","1.9","2.9","3.0","3.9","3.8","3.1"
"Vegetables","7.2","8.6","8.8","6.9","7.5","8.1","8.9","11.1","9.3","8.2"
"Meat","5.1","5.5","2.8","5.4","8.0","5.5","5.8","4.3","3.7","5.1"
"Fish","10.0","5.7","11.2","14.0","14.1","9.2","8.1","6.2","5.7","9.4"
"Dried Fish","4.2","4.0","3.9","0.6","2.1","5.2","4.3","3.9","5.4","4.0"
"Eggs","1.2","1.4","1.3","1.2","1.3","1.3","1.2","1.4","1.4","1.3"
"Coconut","4.9","5.1","6.3","5.4","4.4","5.8","6.0","4.5","6.8","5.4"
"Condiments","10.5","11.4","12.9","12.0","12.8","12.2","11.3","11.6","12.6","11.7"
"Milk and Milk Products","8.1","8.0","7.4","7.6","7.1","6.0","5.9","6.8","5.9","7.3"
"Fat and Oil","2.5","3.8","2.3","4.3","3.4","2.9","3.2","4.3","3.2","3.0"
"Sugar, Jaggery & Treacle","1.7","2.3","2.3","2.6","2.4","2.2","2.1","2.3","2.2","2.1"
"Fruits","3.5","2.9","3.2","1.4","2.6","2.6","2.8","2.8","2.5","3.0"
"Other","9.4","9.9","8.8","6.7","7.8","9.4","8.8","8.7","10.2","9.1"
"All Non Food","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Housing","24.8","22.3","19.1","13.1","17.0","16.0","17.8","19.2","20.7","21.3"
"Fuel and Light","4.6","5.1","4 .6","9.6","8.7","4.9","4.9","4.4","5.4","5.1"
"Personal Care and Health Expenses","6.3","6.0","7.1","6.4","7.9","6.5","6.8","4.6","7.7","6.5"
"Transport","10.8","11.8","11.2","11.3","11.0","12.3","12.0","11.9","13.2","11.4"
"Communication","3.0","2.7","2.4","3.8","3.1","2.5","2.5","2.4","3.1","2.8"
"Education","6.0","5.7","6.2","6.2","5.9","5.0","5.2","4.9","7.1","5.9"
"Cultural Activities and Entertainment","2.7","2.3","2.2","2.2","2.2","2.0","1.6","2.1","1.6","2.3"
"Non - Durable Household Goods & Services","1.8","2.0","1.5","2.2","1.9","1.8","2.0","2.0","1.8","1.8"
"Clothing, Textile and Footwear","2.9","4.8","4.1","6.9","7.3","4.5","5.6","4.6","5.7","4.1"
"Durable Household Goods","11.4","9.6","12.4","9.1","7.9","13.1","10.7","10.1","8 6","11.0"
"Other Miscelleneous Expenses","15.1","14.8","15.8","16.1","14.5","15.7","16.0","15.6","14.1","15.2"
"Other Rare Expenses","9.0","10.0","10.7","11.5","9.8","13.5","12.0","12.6","7.3","10.1"
"Liquor, Narcotic Drugs and Tobacco","1.6","2.9","2.6","1.6","2.8","2.1","3.1","5.6","3.5","2.3"
